participant,expectancy,owner,rt,accuracy
P1,none,self,526.0014029624136,1
P1,none,self,434.0940427609925,0
P1,none,self,609.2729622152568,1
P1,none,self,640.2618699629563,1
P1,none,self,531.009878955681,1
P1,none,self,551.6258839254813,0
P1,none,self,757.2924836022457,1
P1,none,self,480.0098742872897,1
P1,none,self,437.71882592678696,1
P1,none,self,688.6056849751919,1
P1,none,self,487.61641825226957,0
P1,none,self,570.900120678146,1
P1,none,self,627.1074162325328,1
P1,none,self,625.116592515727,1
P1,none,self,551.7262740042894,1
P1,none,self,488.1999142594948,1
P1,none,self,493.73597424067765,1
P1,none,self,716.8583912274881,1
P1,none,self,511.89176669841333,1
P1,none,self,646.3377988468885,0
P1,none,self,494.689959450768,1
P1,none,self,558.3146204666198,1
P1,none,self,548.1109226135516,1
P1,none,self,410.75628053047444,1
P1,none,self,440.56082532634076,1
P1,none,self,550.5237167769635,1
P1,none,self,539.3917097534152,0
P1,none,self,655.2268318487033,1
P1,none,self,256.4183509952733,1
P1,none,self,535.6711012599176,1
P1,none,self,668.8006133896345,1
P1,none,self,514.762634403038,1
P1,none,self,538.339141871689,1
P1,none,self,655.1293409832932,1
P1,none,self,431.71697351457493,1
P1,none,self,602.9925331551303,0
P1,none,self,568.6493844434699,1
P1,none,self,528.996046211875,1
P1,none,self,507.69231030318235,1
P1,none,self,565.9352604510701,1
P1,none,self,660.953763639303,1
P1,none,self,399.48875411277237,1
P1,none,self,582.4210520330571,0
P1,none,self,691.4921155290457,1
P1,none,self,498.32194582369027,1
P1,none,self,587.7922527404453,1
P1,none,self,345.21513866069006,1
P1,none,self,402.41540870572277,1
P1,none,self,588.9938059969113,1
P1,none,self,636.5620504441581,1
P1,none,self,522.3798822087399,1
P1,none,self,363.7999190169461,1
P1,none,self,690.9084824713952,1
P1,none,self,757.5945387125375,1
P1,none,self,660.9528295546189,1
P1,none,self,575.5335601059627,1
P1,none,self,529.1815707950483,1
P1,none,self,599.7365164702669,1
P1,none,self,555.2161579137525,1
P1,none,self,604.2123925953887,1
P1,none,self,632.5309586710748,0
P1,none,self,473.2964041412775,1
P1,none,self,585.8391562538172,1
P1,none,self,489.515081550466,1
P1,none,self,478.0593352808726,1
P1,none,self,540.006524665656,0
P1,none,self,729.4384356235885,1
P1,none,self,402.8987235987913,1
P1,none,self,681.9038846229931,0
P1,none,self,467.78526283533034,1
P1,none,self,633.2105442904074,1
P1,none,self,656.6162467561674,1
P1,none,self,595.6184525628623,1
P1,none,self,524.5511367068932,0
P1,none,self,681.9581708284172,1
P1,none,self,549.3754018040233,1
P1,none,self,448.8336312027649,1
P1,none,self,590.5418704094224,1
P1,none,self,568.7772773806076,1
P1,none,self,594.2613174330322,0
P1,none,self,683.3588404213941,1
P1,none,self,590.477161577234,1
P1,none,self,645.5876830557012,1
P1,none,self,502.73913190335395,1
P1,none,self,735.3404521167461,1
P1,none,self,594.1073675970158,1
P1,none,self,537.8655051302862,1
P1,none,self,592.8317027290321,0
P1,none,self,670.4688986851321,0
P1,none,self,447.683681164492,1
P1,none,self,437.78520101256703,1
P1,none,self,441.4126020891749,0
P1,none,self,593.3102914095273,1
P1,none,self,621.8220534081491,1
P1,none,self,518.789559044875,1
P1,none,self,574.8010471273216,1
P1,none,self,690.4155827472213,1
P1,none,self,518.6047898780779,1
P1,none,self,451.3992633098887,1
P1,none,self,613.498891246576,1
P1,none,self,678.2604882682624,1
P1,none,self,374.7221761370775,1
P1,none,self,560.860714820885,1
P1,none,self,519.6271695547026,1
P1,none,self,482.1677562153981,0
P1,none,self,567.2598245516402,1
P1,none,self,757.9791732566539,0
P1,none,self,565.715161195853,1
P1,none,self,661.2823798460673,1
P1,none,self,440.80203301757314,1
P1,none,self,517.0101469553638,1
P1,none,self,546.0492702665312,1
P1,none,friend,697.1019466228021,0
P1,none,friend,507.1153369136632,1
P1,none,friend,642.0812896220924,1
P1,none,friend,670.1032062094622,1
P1,none,friend,556.3479727174592,1
P1,none,friend,398.9717825824322,0
P1,none,friend,568.4215247863854,0
P1,none,friend,828.8153995205861,1
P1,none,friend,570.1742654172892,1
P1,none,friend,435.02335015396454,1
P1,none,friend,631.4722720078282,1
P1,none,friend,672.2002305558328,1
P1,none,friend,610.5315269817759,1
P1,none,friend,537.6759933332463,1
P1,none,friend,529.775794649887,1
P1,none,friend,614.3795376151796,1
P1,none,friend,762.7201812409307,0
P1,none,friend,274.07244796305037,1
P1,none,friend,482.3880574833389,1
P1,none,friend,546.6906669641702,0
P1,none,friend,534.8916246313629,1
P1,none,friend,713.0809187441464,1
P1,none,friend,488.92172805291443,0
P1,none,friend,589.1438936688184,1
P1,none,friend,561.399597045705,1
P1,none,friend,341.68571439990353,1
P1,none,friend,670.7620402238492,1
P1,none,friend,299.6405899262509,1
P1,none,friend,412.2615532344714,1
P1,none,friend,695.4817467345656,1
P1,none,friend,570.187763446018,1
P1,none,friend,476.8797338143915,1
P1,none,friend,584.928766270267,1
P1,none,friend,649.4732664595995,1
P1,none,friend,625.0908634767628,1
P1,none,friend,716.6443859039218,1
P1,none,friend,488.4146517322282,1
P1,none,friend,489.87530426589586,1
P1,none,friend,558.7217220197181,1
P1,none,friend,385.9745456257224,1
P1,none,friend,623.0887159257572,0
P1,none,friend,535.1181213480293,1
P1,none,friend,507.86171564965923,0
P1,none,friend,514.8718073378486,1
P1,none,friend,381.38854229644636,1
P1,none,friend,397.77828845345704,1
P1,none,friend,424.5472867793871,1
P1,none,friend,574.5758048854361,1
P1,none,friend,587.7918607553158,1
P1,none,friend,467.2962838649462,1
P1,none,friend,824.8943403511215,1
P1,none,friend,669.7003300300129,0
P1,none,friend,727.224033716152,1
P1,none,friend,421.21027045855107,1
P1,none,friend,590.3666513126971,1
P1,none,friend,673.8905474685681,1
P1,none,friend,842.5298779211015,1
P1,none,friend,694.625155182577,1
P1,none,friend,530.1427924730247,1
P1,none,friend,499.9527983254537,1
P1,none,friend,755.1246348543938,1
P1,none,friend,278.6532773090888,1
P1,none,friend,434.3689282728001,1
P1,none,friend,295.3834729376516,1
P1,none,friend,531.3922507398302,1
P1,none,friend,703.1854113625318,0
P1,none,friend,535.8160958696852,1
P1,none,friend,639.9993508278883,1
P1,none,friend,562.9318765323699,1
P1,none,friend,805.5095665751976,1
P1,none,friend,528.9129367135079,1
P1,none,friend,710.072706705418,1
P1,none,friend,527.120455193772,1
P1,none,friend,376.0118460512956,1
P1,none,friend,538.4810256193538,1
P1,none,friend,440.979442675104,1
P1,none,friend,497.09606156770803,1
P1,none,friend,640.3754290738689,1
P1,none,friend,428.2877417430433,1
P1,none,friend,360.98806188167987,0
P1,none,friend,397.9026575239193,0
P1,none,friend,465.3159979834495,0
P1,none,friend,606.8142264253671,0
P1,none,friend,744.8591494322667,1
P1,none,friend,689.8556882271549,1
P1,none,friend,647.4703689491198,1
P1,none,friend,648.8287628228491,0
P1,none,friend,792.276298917308,1
P1,none,friend,419.1275988363785,1
P1,none,friend,688.8848177574928,1
P1,none,friend,787.4173139462048,1
P1,none,friend,573.992929602752,1
P1,none,friend,603.4609449011477,1
P1,none,friend,561.6254036885877,1
P1,none,friend,508.04865021372655,1
P1,none,friend,631.1326748640812,0
P1,none,friend,757.8189834471722,1
P1,none,friend,359.62432166277375,1
P1,none,friend,604.8276857484691,1
P1,none,friend,738.5129063930762,1
P1,none,friend,621.6557798040674,0
P1,none,friend,480.46777124268925,1
P1,none,friend,433.2025204157211,1
P1,none,friend,577.3971327624736,1
P1,none,friend,525.413422497732,1
P1,none,friend,536.313010549376,1
P1,none,friend,729.2707384299803,1
P1,none,friend,601.0258754830121,1
P1,none,friend,565.645665477065,1
P1,none,friend,512.9022637794394,1
P1,none,friend,512.9475706151798,1
P1,none,friend,630.0373150021887,1
P2,none,self,527.2007330647956,1
P2,none,self,573.29494985807,1
P2,none,self,617.8103566812628,1
P2,none,self,538.4551215606687,1
P2,none,self,444.80386208337825,1
P2,none,self,715.8966923750996,1
P2,none,self,541.3714203978178,0
P2,none,self,299.0903572142558,1
P2,none,self,404.0496476556387,1
P2,none,self,501.2282575698974,1
P2,none,self,727.256947480593,1
P2,none,self,695.498313351902,1
P2,none,self,735.6663916455392,0
P2,none,self,560.0533151768567,1
P2,none,self,452.3272790412557,1
P2,none,self,615.1776037841348,1
P2,none,self,702.0208988449666,1
P2,none,self,664.8908699649744,1
P2,none,self,499.4547136688632,1
P2,none,self,474.80828404082376,1
P2,none,self,579.9358937403911,0
P2,none,self,575.5976940197854,1
P2,none,self,630.9627427513319,0
P2,none,self,437.41783409182483,1
P2,none,self,573.2961561261146,1
P2,none,self,736.8007404897671,1
P2,none,self,443.36558677489637,1
P2,none,self,647.073939976497,1
P2,none,self,455.0126277899136,1
P2,none,self,538.0595287071021,1
P2,none,self,657.0149356747619,1
P2,none,self,562.4326851448997,1
P2,none,self,448.7651127305487,1
P2,none,self,483.2218887087288,1
P2,none,self,497.12600113116616,1
P2,none,self,595.251080351856,0
P2,none,self,518.1668939550289,1
P2,none,self,685.009736617496,0
P2,none,self,705.1339818826152,1
P2,none,self,387.6882006512974,1
P2,none,self,565.4292477196868,1
P2,none,self,591.7367735921872,1
P2,none,self,533.1561740831969,1
P2,none,self,679.7027288203103,1
P2,none,self,501.4736298598412,1
P2,none,self,549.3131333927615,1
P2,none,self,433.6502362176632,1
P2,none,self,522.789113794716,1
P2,none,self,457.0951954222236,1
P2,none,self,637.1521308961372,1
P2,none,self,652.1662305293971,1
P2,none,self,534.8964773101404,1
P2,none,self,688.479379686417,1
P2,none,self,364.54402798472813,1
