participant,expectancy,owner,rt,accuracy
P1,self,self,398.20382270797813,1
P1,self,self,470.6915339720523,1
P1,self,self,565.7287133352037,0
P1,self,self,416.1694636080472,1
P1,self,self,356.1592819042027,1
P1,self,self,551.4741408863229,1
P1,self,self,375.01104448717365,1
P1,self,self,525.5217476202442,0
P1,self,self,513.1049405924696,1
P1,self,self,552.7721516620971,1
P1,self,self,442.2195559477425,1
P1,self,self,591.6502118973837,0
P1,self,self,512.8066618996662,1
P1,self,self,523.4875094877827,1
P1,self,self,323.1869606265634,1
P1,self,self,537.1770733394159,1
P1,self,self,359.2778386945638,1
P1,self,self,461.8758676242143,1
P1,self,self,425.28419232836006,1
P1,self,self,555.4536165465715,1
P1,self,self,378.5958611366093,1
P1,self,self,483.73321603986875,1
P1,self,self,532.6750151184399,1
P1,self,self,470.6370212275085,1
P1,self,self,392.8516287440801,1
P1,self,self,391.1205720510987,1
P1,self,self,533.3287580740445,1
P1,self,self,454.03686133267365,0
P1,self,self,422.07847324779084,1
P1,self,self,460.3920897586295,0
P1,self,self,519.3535737685357,1
P1,self,self,454.7607458001712,1
P1,self,self,449.11465615181623,1
P1,self,self,515.7942995326193,1
P1,self,self,534.154130526779,1
P1,self,self,453.3261361679279,1
P1,self,self,455.54467614368065,1
P1,self,self,469.55796151695296,1
P1,self,self,442.95341400043765,1
P1,self,self,306.4821243517936,1
P1,self,self,494.1633753791337,1
P1,self,self,511.220552726584,0
P1,self,self,367.6459515973218,1
P1,self,self,376.41496520058934,1
P1,self,self,422.7000087716706,0
P1,self,self,605.8647524231337,1
P1,self,self,555.960983171691,1
P1,self,self,371.69790734656885,1
P1,self,self,432.1896214854388,1
P1,self,self,372.5366088287135,1
P1,self,self,577.7574433507499,1
P1,self,self,458.16545583591864,1
P1,self,self,542.951095230437,0
P1,self,self,498.3637267248733,1
P1,self,self,486.19283360152156,1
P1,self,self,534.2779030011793,1
P1,self,self,474.0781766283038,1
P1,self,self,367.84349911671717,1
P1,self,self,381.01688822791175,1
P1,self,self,479.0224354307993,1
P1,self,self,441.49736697045125,1
P1,self,self,424.62516192968343,1
P1,self,self,558.4733372803898,1
P1,self,self,487.12942822036024,1
P1,self,self,503.7470802733103,0
P1,self,self,470.045532946392,1
P1,self,self,427.06728389738055,1
P1,self,self,523.6410845924368,0
P1,self,self,363.5931927759033,1
P1,self,self,460.0069416877416,1
P1,self,self,621.3243780564414,1
P1,self,self,337.13853905376953,1
P1,self,self,265.13209550715146,1
P1,self,self,437.85925153081075,1
P1,self,self,372.4221760579681,1
P1,self,self,326.03809748508706,1
P1,self,self,447.2770990537848,1
P1,self,self,580.309568894808,1
P1,self,self,518.4918903201295,1
P1,self,self,434.9152885688819,1
P1,self,self,390.7545226109325,1
P1,self,self,291.7231641046476,1
P1,self,self,343.3895710994916,1
P1,self,self,655.473498236717,1
P1,self,self,322.40567485821975,1
P1,self,self,441.0924797572133,1
P1,self,self,378.69484942947787,1
P1,self,self,556.1694003238872,1
P1,self,self,434.3846706376031,1
P1,self,self,468.1621112867804,1
P1,self,self,424.3852667150377,0
P1,self,self,456.12973919940987,1
P1,self,self,451.2218515773561,0
P1,self,self,597.1389752582621,1
P1,self,self,437.4918734634442,1
P1,self,self,425.24132366209244,1
P1,self,self,419.1098356083295,1
P1,self,self,519.9799716465625,1
P1,self,self,450.8227957243371,1
P1,self,self,456.5962692363428,1
P1,self,self,439.0383403906484,1
P1,self,self,547.9652184133632,1
P1,self,self,347.9390592111733,1
P1,self,self,423.93615496250436,1
P1,self,self,441.7913795857471,1
P1,self,self,484.59684032499945,1
P1,self,self,463.19273698155234,1
P1,self,self,496.9711819004953,1
P1,self,self,466.41589708190344,1
P1,self,self,370.8171318262522,1
P1,self,self,450.6271289070234,1
P1,self,self,444.8377289121577,0
P1,self,self,587.4678334698168,1
P1,self,self,462.9272782953994,1
P1,self,self,305.1273233753608,1
P1,self,self,531.9058014533988,1
P1,self,self,347.80580990794124,1
P1,self,self,480.9549189278316,1
P1,self,self,438.1583320933021,1
P1,self,self,403.33495359364366,1
P1,self,self,430.8093327832043,1
P1,self,self,390.4384405944886,0
P1,self,self,389.94356753313514,1
P1,self,self,577.6255736652096,0
P1,self,self,523.8807069872264,1
P1,self,self,604.6397085571161,1
P1,self,self,467.6621701367943,0
P1,self,self,428.50624275430044,0
P1,self,self,441.2812186575387,1
P1,self,self,510.73730373270826,0
P1,self,self,445.2420040374723,1
P1,self,self,489.40823744475415,1
P1,self,self,546.1612111823554,1
P1,self,self,519.7633690932385,1
P1,self,self,489.8846933964037,1
P1,self,self,387.2495567891262,1
P1,self,self,381.0455216245038,0
P1,self,self,463.1230942568457,1
P1,self,self,430.55757433558347,1
P1,self,self,535.2477387313244,1
P1,self,self,461.07127088902433,1
P1,self,self,334.72199755726973,1
P1,self,self,367.29288231413886,0
P1,self,self,494.9512910143053,1
P1,self,self,400.1825258593211,1
P1,self,self,390.9488370931986,1
P1,self,self,404.0524659425627,1
P1,self,self,492.0017718724493,0
P1,self,self,432.6592997682119,1
P1,self,self,452.711183086553,0
P1,self,self,482.73637577656245,0
P1,self,self,505.81257462363254,1
P1,self,self,513.830183643557,1
P1,self,self,351.6884623805686,1
P1,self,self,508.6252158439895,1
P1,self,self,452.68996788190475,1
P1,self,self,469.90856348545077,1
P1,self,self,546.9277698882092,1
P1,self,self,470.22586851201453,1
P1,self,self,587.8729216160153,1
