participant,expectancy,owner,rt,accuracy
P1,self,self,509.0677279576597,1
P1,self,self,367.00338712571545,0
P1,self,self,403.43561317688227,1
P1,self,self,575.2315588080162,1
P1,self,self,494.3243472238142,1
P1,self,self,501.98145666418037,1
P1,self,self,477.66330616102584,1
P1,self,self,503.3932167127198,1
P1,self,self,347.89936424342,1
P1,self,self,582.9357283418842,1
P1,self,self,367.1758072571696,1
P1,self,self,577.9630997420594,1
P1,self,self,424.9752973906284,1
P1,self,self,533.0783802596646,0
P1,self,self,460.70929766800873,1
P1,self,self,370.7696459411685,1
P1,self,self,453.70144642029044,1
P1,self,self,491.65176375272813,1
P1,self,self,373.996844721048,1
P1,self,self,538.7267676483348,1
P1,self,self,550.2875866317511,1
P1,self,self,560.7341188519395,1
P1,self,self,433.8739870385623,1
P1,self,self,486.2916891332663,1
P1,self,self,460.45044383735166,1
P1,self,self,471.25403985878205,0
P1,self,self,463.67479206761124,1
P1,self,self,379.1647844040986,1
P1,self,self,424.23226611265045,1
P1,self,self,534.5832352676719,1
P1,self,self,513.2029751262558,1
P1,self,self,548.6872856568467,1
P1,self,self,432.93329568930847,1
P1,self,self,468.27879354339365,1
P1,self,self,620.857071370158,1
P1,self,self,384.8558759502258,1
P1,self,self,469.4942713089329,0
P1,self,self,569.950431422855,1
P1,self,self,556.8228348380248,0
P1,self,self,401.43687207470305,1
P1,self,self,451.90285716822535,1
P1,self,self,404.00993815578727,1
P1,self,self,590.1439494281842,1
P1,self,self,430.8022158013089,1
P1,self,self,509.7369816342474,0
P1,self,self,383.9839250867786,1
P1,self,self,543.8106777998197,1
P1,self,self,378.68105553683165,1
P1,self,self,466.2687754381922,1
P1,self,self,437.45547940616905,1
P1,self,self,461.7353290271184,1
P1,self,self,476.2970223169526,1
P1,self,self,474.4508074941418,1
P1,self,self,430.7868376074111,1
P1,self,self,470.3249781166659,1
P1,self,self,479.7862677754704,1
P1,self,self,306.33051114944965,1
P1,self,self,327.0431762338129,1
P1,self,self,397.35183066510353,1
P1,self,self,460.66001375965834,1
P1,self,self,358.1748398149967,1
P1,self,self,501.1982093918218,1
P1,self,self,466.6951214399161,1
